Ghazal Title
aankhon mein raha dil mein utar kar nahin dekha
agar talash karun koi mil hi jaega
yunhi be-sabab na phira karo koi sham ghar mein raha karo
sar se pa tak wo gulabon ka shajar lagta hai
hamara dil sawere ka sunahra jam ho jae
mohabbaton mein dikhawe ki dosti na mila
log TuT jate hain ek ghar banane mein
sar jhukaoge to patthar devta ho jaega
abhi is taraf na nigah kar main ghazal ki palken sanwar lun
agar yaqin nahin aata to aazmae mujhe
kahan aansuon ki ye saughat hogi
honTon pe mohabbat ke fasane nahin aate
na ji bhar ke dekha na kuchh baat ki
KHuda hum ko aisi KHudai na de
kahin chand rahon mein kho gaya kahin chandni bhi bhaTak gai
parakhna mat parakhne mein koi apna nahin rahta
achchha tumhaare shahr ka dastur ho gaya
kabhi yun bhi aa meri aankh mein ki meri nazar ko KHabar na ho
mujhse bichhaD ke KHush rahte ho
dua karo ki ye pauda sada hara hi lage
wo chandni ka badan KHushbuon ka saya hai
bhigi hui aankhon ka ye manzar na milega
hai ajib shahr ki zindagi na safar raha na qayam hai
wo ghazal walon ka uslub samajhte honge
sanwar nok-palak abruon mein KHam kar de
wahi taj hai wahi taKHt hai wahi zahr hai wahi jam hai
mere dil ki rakh kured mat ise muskura ke hawa na de
musafir ke raste badalte rahe
socha nahin achchha bura dekha suna kuchh bhi nahin
wo apne ghar chala gaya afsos mat karo
kabhi to sham Dhale apne ghar gae hote
meri aankhon mein tere pyar ka aansu aae
main kab tanha hua tha yaad hoga
ghazlon ka hunar apni aankhon ko sikhaenge
ghar se nikle agar hum bahak jaenge
udasi aasman hai dil mera kitna akela hai
sar-e-rah kuchh bhi kaha nahin kabhi uske ghar main gaya nahin
aahan mein Dhalti jaegi ikkiswin sadi
kisi ki yaad mein palken zara bhigo lete
jab raat ki tanhai dil ban ke dhaDakti hai
koi phul dhup ki pattiyon mein hare ribbon se bandha hua
ye charagh be-nazar hai ye sitara be-zaban hai
udas raat hai koi to KHwab de jao
ret bhari hai in aankhon mein aansu se tum dho lena
sau KHulus baaton mein sab karam KHayalon mein
KHushbu ki tarah aaya wo tez hawaon mein
ab kise chahen kise DhunDa karen
baDe tajiron ki satai hui
meri zindagi bhi meri nahin ye hazar KHanon mein baT gai
udas aankhon se aansu nahin nikalte hain
