Company Name,Address,Status
 Ultramed Remedies Private Limited ,"Jhansi, Uttar Pradesh, India",ACTIVE
 Revs Automobiles Private Limited ,"Kanpur Nagar, Uttar Pradesh, India",ACTIVE
 Snipe Labs Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Corpwiz Holding Private Limited ,"North 24 Parganas, West Bengal, India",ACTIVE
 Pulyala Infra Developers Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Jayasingh Software Consultancy (Opc) Private Limited ,"Coimbatore, Tamil Nadu, India",ACTIVE
 Dharaa Recyclers Private Limited ,"Bareilly, Uttar Pradesh, India",ACTIVE
 Namo Narayan Ventures Private Limited ,"Lucknow, Uttar Pradesh, India",ACTIVE
 Winsome Publishing (Opc) Private Limited ,"Mahabub Nagar, Telangana, India",ACTIVE
 Socrates Marcus Maximinus Analytics Private Limited ,"Alappuzha, Kerala, India",ACTIVE
 Abhidurga Infratech Private Limited ,"Khorda, Odisha, India",ACTIVE
 Mrm Engineering Private Limited ,"Central Delhi, Delhi, India",ACTIVE
 R2csecure Services Private Limited ,"North West Delhi, Delhi, India",ACTIVE
 Intellomind Academy Private Limited ,"Bhopal, Madhya Pradesh, India",ACTIVE
 Shree Zevon Micro Finance Private Limited ,"Godda, Jharkhand, India",ACTIVE
 Keshav Kunj Foundation ,"Thane, Maharashtra, India",ACTIVE
 Jai Jagdish Resorts Private Limited ,"Jaipur, Rajasthan, India",ACTIVE
 Ampin Energy C&I Eight Private Limited ,"South Delhi, Delhi, India",ACTIVE
 Growbig Water Private Limited ,"Meerut, Uttar Pradesh, India",ACTIVE
 Mallaji Karan Foundation ,"Aligarh, Uttar Pradesh, India",ACTIVE
 Arulmigu Pandi Muneeswarar Foods Private Limited ,"Madurai, Tamil Nadu, India",ACTIVE
 O2 Renewable Energy Xxxi Private Limited ,"South Delhi, Delhi, India",ACTIVE
 Accucal Solutions (Opc) Private Limited ,"Nashik, Maharashtra, India",ACTIVE
 Technoworld Tele Services Private Limited ,"South Delhi, Delhi, India",ACTIVE
 Cf Innovation Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Greenero Agro (Opc) Private Limited ,"Cuttack, Odisha, India",ACTIVE
 Etj Agro Processing (India) Private Limited ,"Kolkata, West Bengal, India",ACTIVE
 Anandraj Elite Infra Private Limited ,"Sangli, Maharashtra, India",ACTIVE
 Integgit Solutions Private Limited ,"Jalandhar, Punjab, India",ACTIVE
 Njsd Broking Private Limited ,"Mumbai, Maharashtra, India",ACTIVE
 Mahistar Hotelier Private Limited ,"Bangalore Rural, Karnataka, India",ACTIVE
 Zyvanova Private Limited ,"Nainital, Uttarakhand, India",ACTIVE
 Mpt Builders Private Limited ,"Kanchipuram, Tamil Nadu, India",ACTIVE
 Majestic Riceland And Grains Mills Private Limited ,"Kota, Rajasthan, India",ACTIVE
 Foresly Exports Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Young Engineer Robotics Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Nandyala Nagaiah Helping Foundation ,"Hyderabad, Telangana, India",ACTIVE
 Idc Evmotors Private Limited ,"Thane, Maharashtra, India",ACTIVE
 Cura Logistics Private Limited ,"East Delhi, Delhi, India",ACTIVE
 R. Ahmed Garments And Hosiery (Opc) Private Limited ,"South 24 Parganas, West Bengal, India",ACTIVE
 V-Lead Credinfo (India) Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Mandlik Envotech Private Limited ,"Ahmed Nagar, Maharashtra, India",ACTIVE
 Jhnms Fashion (Opc) Private Limited ,"Bangalore, Karnataka, India",ACTIVE
 Aadh Functional Foods And Nutraceuticals Private Limited ,"Coimbatore, Tamil Nadu, India",ACTIVE
 Kailashparvateshwar Farmers Producer Company Limited ,"Nashik, Maharashtra, India",ACTIVE
 Joga Bonito Private Limited ,"West Khasi Hills, Meghalaya, India",ACTIVE
 Nandanyog Farmer Producer Company Limited ,"Nashik, Maharashtra, India",ACTIVE
