Title
आँखों में रहा दिल में उतर कर नहीं देखा
अगर तलाश करूँ कोई मिल ही जाएगा
यूँही बे-सबब न फिरा करो कोई शाम घर में रहा करो
सर से पा तक वो गुलाबों का शजर लगता है
हमारा दिल सवेरे का सुनहरा जाम हो जाए
मोहब्बतों में दिखावे की दोस्ती न मिला
लोग टूट जाते हैं एक घर बनाने में
सर झुकाओगे तो पत्थर देवता हो जाएगा
अभी इस तरफ़ न निगाह कर मैं ग़ज़ल की पलकें सँवार लूँ
अगर यक़ीं नहीं आता तो आज़माए मुझे
कहाँ आँसुओं की ये सौग़ात होगी
होंटों पे मोहब्बत के फ़साने नहीं आते
न जी भर के देखा न कुछ बात की
ख़ुदा हम को ऐसी ख़ुदाई न दे
कहीं चाँद राहों में खो गया कहीं चाँदनी भी भटक गई
परखना मत परखने में कोई अपना नहीं रहता
अच्छा तुम्हारे शहर का दस्तूर हो गया
कभी यूँ भी आ मिरी आँख में कि मिरी नज़र को ख़बर न हो
मुझ से बिछड़ के ख़ुश रहते हो
दुआ करो कि ये पौदा सदा हरा ही लगे
वो चाँदनी का बदन ख़ुशबुओं का साया है
भीगी हुई आँखों का ये मंज़र न मिलेगा
है अजीब शहर की ज़िंदगी न सफ़र रहा न क़याम है
वो ग़ज़ल वालों का उस्लूब समझते होंगे
सँवार नोक-पलक अबरुओं में ख़म कर दे
वही ताज है वही तख़्त है वही ज़हर है वही जाम है
मिरे दिल की राख कुरेद मत इसे मुस्कुरा के हवा न दे
मुसाफ़िर के रस्ते बदलते रहे
सोचा नहीं अच्छा बुरा देखा सुना कुछ भी नहीं
वो अपने घर चला गया अफ़्सोस मत करो
कभी तो शाम ढले अपने घर गए होते
मेरी आँखों में तिरे प्यार का आँसू आए
मैं कब तन्हा हुआ था याद होगा
ग़ज़लों का हुनर अपनी आँखों को सिखाएँगे
उदासी आसमाँ है दिल मिरा कितना अकेला है
घर से निकले अगर हम बहक जाएँगे
सर-ए-राह कुछ भी कहा नहीं कभी उस के घर मैं गया नहीं
आहन में ढलती जाएगी इक्कीसवीं सदी
किसी की याद में पलकें ज़रा भिगो लेते
जब रात की तन्हाई दिल बन के धड़कती है
कोई फूल धूप की पत्तियों में हरे रिबन से बँधा हुआ
ये चराग़ बे-नज़र है ये सितारा बे-ज़बाँ है
उदास रात है कोई तो ख़्वाब दे जाओ
रेत भरी है इन आँखों में आँसू से तुम धो लेना
सौ ख़ुलूस बातों में सब करम ख़यालों में
ख़ुशबू की तरह आया वो तेज़ हवाओं में
अब किसे चाहें किसे ढूँडा करें
बड़े ताजिरों की सताई हुई
मिरी ज़िंदगी भी मिरी नहीं ये हज़ार ख़ानों में बट गई
उदास आँखों से आँसू नहीं निकलते हैं
